City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
469,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
471,Bousse,BF,83.77,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
472,Naifaru,MV,81.81,few clouds,5.4444,73.3657,Naifaru Residence Guest House
473,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
474,Sainte-Marie,RE,77.16,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
475,Amapa,BR,79.57,overcast clouds,1.0,-52.0,
477,Beterou,BJ,83.32,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
481,Guarapari,BR,78.69,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
482,Necochea,AR,80.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
483,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
485,Kulhudhuffushi,MV,81.95,few clouds,6.6221,73.07,Haajy Guest House 1
487,Moron,AR,81.95,clear sky,-34.6534,-58.6198,Hotel Morón
488,Andili,PH,75.92,overcast clouds,7.462,125.9701,Nueva Visayas
489,Umm Kaddadah,SD,71.35,clear sky,13.6017,26.6876,
492,Lindi,TZ,75.13,light rain,-10.0,39.7167,Lindi paradise house
494,Moroni,KM,78.91,broken clouds,-11.7022,43.2551,Hotel les Arcades
496,Katakwi,UG,76.78,overcast clouds,1.8911,33.9661,Ebenezer Guest House
498,Ngunguru,NZ,70.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
499,Namatanai,PG,79.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
501,Iralaya,HN,86.09,few clouds,15.0,-83.2333,Iglesia morava renovada
502,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
504,Mananara,MG,72.73,clear sky,-16.1667,49.7667,Chez Roger
505,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
507,Laguna,US,78.21,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
515,Alamos,MX,85.71,clear sky,27.0167,-108.9333,Luz del Sol
516,Maputo,MZ,76.68,few clouds,-25.9653,32.5892,Pestana Rovuma
517,Ambulu,ID,76.87,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
521,Port Blair,IN,79.12,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
525,Yaan,NG,82.71,scattered clouds,7.3833,8.5667,
526,Jacareacanga,BR,77.5,moderate rain,-6.2222,-57.7528,Casa do Ian😎
529,Beloha,MG,73.54,clear sky,-25.1667,45.05,
530,Harper,LR,79.61,scattered clouds,4.375,-7.7169,Screensaver
533,Faanui,PF,81.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
534,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
537,La Labor,HN,78.78,scattered clouds,14.4833,-89.0,PUNTO MOVIL
538,Catalina,US,80.49,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
539,Itanhem,BR,78.75,scattered clouds,-17.1664,-40.33,Hotel Resende
544,Lompoc,US,83.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
545,Camana,PE,70.65,scattered clouds,-16.6228,-72.7111,Hostal Morales
550,Morehead,US,72.14,clear sky,37.2711,-87.1764,CCI Express Inn
551,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
552,Nieuw Amsterdam,SR,86.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
556,Alibag,IN,75.27,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
557,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
558,Dingle,PH,74.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
559,Soyo,AO,79.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
562,Pansoy,PH,75.51,overcast clouds,13.1825,122.5989,
566,Maraba,BR,86.18,moderate rain,-5.3686,-49.1178,Hotel Del Principe
572,Kyabe,TD,81.59,scattered clouds,9.4515,18.9449,
573,Birnin Kebbi,NG,81.25,scattered clouds,12.4539,4.1975,Saffar Guest Inn Ltd
574,Sola,VU,77.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
575,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
576,Antalaha,MG,73.18,clear sky,-14.9003,50.2788,Hotel Vitasoa
577,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
582,Luganville,VU,80.13,moderate rain,-15.5333,167.1667,The Espiritu Hotel
583,Poya,NC,80.04,overcast clouds,-21.35,165.15,
590,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
592,Papara,BR,83.71,overcast clouds,-3.9839,-38.7273,Romin mentes de mais
593,Kapit,MY,72.57,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
595,Teknaf,BD,71.04,overcast clouds,20.8624,92.3058,Forestry Guesthouse
597,Buta,CD,70.99,light rain,2.7858,24.73,HOTEL BISO NA BISO
599,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
604,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
610,Bubaque,GW,82.18,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
611,Sangueya,GN,77.88,scattered clouds,10.7,-14.3667,
612,Belmonte,BR,80.6,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
