City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
34,Mar Del Plata,AR,-38.0023,-57.5575,63.88,85,16,25.99,few clouds
35,Muroto,JP,33.2833,134.15,52.34,58,35,12.37,scattered clouds
36,Shelburne,CA,44.0787,-80.2041,41.27,92,98,20.62,overcast clouds
37,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,87.22,58,99,3.13,overcast clouds
38,Rikitea,PF,-23.1203,-134.9692,76.42,73,3,16.28,clear sky
39,Port Elizabeth,ZA,-33.918,25.5701,65.1,76,100,16.2,overcast clouds
40,Honiara,SB,-9.4333,159.95,79.56,82,96,1.63,overcast clouds
41,Coahuayana,MX,18.7333,-103.6833,90.88,55,6,6.69,clear sky
42,Port Alfred,ZA,-33.5906,26.891,63.84,76,100,22.88,overcast clouds
43,Avera,US,33.194,-82.5271,75.07,38,2,13.65,clear sky
44,Darnetal,FR,49.4453,1.1514,39.36,86,75,3.44,broken clouds
45,San Patricio,US,28.017,-97.5169,84.18,62,76,7.45,broken clouds
46,Kavieng,PG,-2.5744,150.7967,81.57,77,100,6.06,light rain
47,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,40,8.05,scattered clouds
48,Cape Town,ZA,-33.9258,18.4232,62.28,61,0,4.0,clear sky
49,Chuy,UY,-33.6971,-53.4616,67.08,62,48,11.27,scattered clouds
50,Bilma,NE,18.6853,12.9164,72.79,17,3,6.22,clear sky
51,Albany,US,42.6001,-73.9662,51.67,89,100,1.01,overcast clouds
52,Clovis,US,36.8252,-119.7029,81.12,53,75,3.0,haze
53,Buraydah,SA,26.326,43.975,58.59,55,63,13.04,broken clouds
54,Mount Gambier,AU,-37.8333,140.7667,46.31,93,100,4.61,overcast clouds
55,Busselton,AU,-33.65,115.3333,52.05,82,0,14.0,clear sky
56,Hithadhoo,MV,-0.6,73.0833,81.75,78,72,6.69,broken clouds
57,Camacha,PT,33.0833,-16.3333,62.02,59,40,16.11,scattered clouds
58,Rivadavia,AR,-33.1905,-68.4608,87.76,25,97,10.85,overcast clouds
59,Uribia,CO,11.7139,-72.266,88.81,50,100,19.71,overcast clouds
60,Okhotsk,RU,59.3833,143.3,2.34,91,100,21.41,overcast clouds
61,Chokurdakh,RU,70.6333,147.9167,-33.5,99,94,8.66,overcast clouds
62,Cidreira,BR,-30.1811,-50.2056,68.94,66,94,11.23,overcast clouds
63,Vaini,TO,-21.2,-175.2,82.56,78,20,11.5,few clouds
64,Georgetown,MY,5.4112,100.3354,76.95,92,20,1.14,few clouds
65,Bayir,TR,37.2687,28.2167,48.72,83,16,4.76,few clouds
66,Apiai,BR,-24.5094,-48.8425,62.91,98,80,6.08,broken clouds
67,Superior,US,46.7208,-92.1041,40.95,63,90,9.22,overcast clouds
68,Sitka,US,57.0531,-135.33,33.69,86,90,12.66,light rain
69,Luancheng,CN,37.8792,114.6517,40.21,33,0,4.79,clear sky
70,Griffith,US,41.5284,-87.4237,59.16,41,1,1.01,clear sky
71,Nikolskoye,RU,59.7035,30.7861,15.69,95,100,4.0,overcast clouds
72,Victoria,HK,22.2855,114.1577,63.32,35,8,5.01,clear sky
73,Hasaki,JP,35.7333,140.8333,46.8,64,100,20.89,light rain
74,Manresa,ES,41.725,1.8266,50.56,45,3,4.5,clear sky
75,Tevaitoa,PF,-16.7833,-151.5,81.36,74,17,22.86,light rain
76,Khatanga,RU,71.9667,102.5,-41.33,100,73,5.08,broken clouds
77,Bethel,US,41.3712,-73.414,55.2,73,100,1.99,overcast clouds
78,Kaitangata,NZ,-46.2817,169.8464,58.32,93,97,0.92,overcast clouds
79,Nakamura,JP,32.9833,132.9333,39.47,83,1,4.59,clear sky
80,Wukari,NG,7.85,9.7833,82.54,22,55,2.82,broken clouds
81,Mitu,CO,1.1983,-70.1733,76.66,85,100,1.86,overcast clouds
82,Bathsheba,BB,13.2167,-59.5167,84.81,65,20,18.41,few clouds
83,Esmeralda,CU,21.8525,-78.1169,83.44,66,66,11.41,broken clouds
84,Kapaa,US,22.0752,-159.319,80.58,81,40,1.01,light rain
85,Constantine,DZ,36.365,6.6147,48.69,73,100,11.05,overcast clouds
86,Touros,BR,-5.1989,-35.4608,85.1,72,100,12.91,overcast clouds
87,Mattru,SL,7.6244,-11.8332,78.15,86,100,2.95,overcast clouds
88,Aransas Pass,US,27.9095,-97.15,82.49,76,1,8.01,clear sky
89,Talnakh,RU,69.4865,88.3972,-1.41,86,100,2.68,overcast clouds
90,Hamilton,US,39.1834,-84.5333,67.05,56,75,5.01,broken clouds
91,Tasiilaq,GL,65.6145,-37.6368,8.96,72,28,8.59,scattered clouds
92,Ancud,CL,-41.8697,-73.8203,58.53,58,70,3.91,broken clouds
93,Saint George,US,37.1041,-113.5841,75.67,27,1,1.99,clear sky
94,Torbay,CA,47.6666,-52.7314,42.67,81,88,3.0,overcast clouds
95,Hervey Bay,AU,-25.2986,152.8535,77.04,93,4,3.0,clear sky
96,Mahebourg,MU,-20.4081,57.7,78.26,82,20,12.46,light rain
97,Metaxades,GR,41.4204,26.225,52.18,76,0,13.65,clear sky
98,Berlevag,NO,70.8578,29.0864,26.55,86,90,11.5,light shower snow
99,Boden,SE,65.8252,21.6886,24.8,95,100,8.63,light snow
100,Sagara,JP,34.6833,138.2,43.99,76,100,6.62,light rain
101,Anakapalle,IN,17.6833,83.0167,73.35,75,100,4.94,overcast clouds
102,Marzuq,YE,14.4,46.4667,59.09,40,0,1.32,clear sky
103,Muli,MV,2.9167,73.5667,81.93,76,59,4.56,broken clouds
104,Den Helder,NL,52.9599,4.7593,40.98,87,75,6.91,broken clouds
105,Chumikan,RU,54.7183,135.315,-9.13,85,11,16.6,few clouds
106,Denpasar,ID,-8.65,115.2167,78.46,88,20,0.0,few clouds
107,Evensk,RU,61.95,159.2333,12.22,88,100,7.92,overcast clouds
108,Mendi,PG,-6.1761,143.6513,55.89,98,97,1.99,overcast clouds
109,Neepawa,CA,50.2289,-99.4664,21.81,79,100,2.73,overcast clouds
110,Jamestown,US,42.097,-79.2353,52.92,65,75,11.99,broken clouds
