Unnamed: 0,TotalCoinSupply,TotalCoinsMined,CoinName,Class
SUCR,1.98e-05,4.271764361299468e-06,Sucre,3
SPK,2.1e-05,7.926732120684645e-06,SparksPay,3
WAGE,0.00012,2.7575706299068398e-05,Digiwage,0
GUN,0.0005,0.00030282962516929856,GunCoin,3
IRL,6.4e-05,4.594295543407392e-05,IrishCoin,3
TROLL,0.0009,0.0005969994384801132,Trollcoin,0
LCP,4e-06,2.5297704851289645e-06,Litecoin Plus,0
MONK,2.1e-05,4.451778025752022e-06,Monkey Project,0
PCOIN,2.3e-05,8.563796965572327e-06,Pioneer Coin,3
UBTC,2.0166e-05,2.036988677460417e-05,UnitedBitcoin,3
ITZ,2.3e-05,1.2037052476950459e-05,Interzone,3
TPAY,2.4999999999999998e-05,2.0652578416072093e-05,TokenPay,0
MCT,1.618033e-06,1.6343529760993054e-06,1717 Masonic Commemorative Token,3
MBC,3e-05,9.494351199405258e-06,My Big Coin,0
TRTL,1.0,0.05367721313649496,TurtleCoin,3
MUN,1.66e-05,4.867022143120781e-06,MUNcoin,3
USX,0.000232,0.00023722111232582548,Unified Society USDEX,0
NBR,0.000336,0.00013528682091182333,Niobio Cash,3
SSS,0.01,0.010101125217559265,ShareChain,3
TRF,9.999999999999999e-05,0.00010841055314609413,Travelflex,3
KREDS,0.0011,0.0006503062720085249,KREDS,3
TOKC,0.0007999999999999999,0.00023262778644178535,Tokyo Coin,0
BBP,0.0052,0.00179001182933328,BiblePay,1
LCC,0.00084,0.0006448379477152089,LitecoinCash,0
FLIP,3.9999999999999996e-05,1.2571919087957276e-05,BitFlip,3
LOT,0.01840697984,0.014637555138650792,LottoCoin,3
CIF,0.0005,0.00021343434893853904,Crypto Improvement Fund,3
SPD,1.9340594e-05,1.1365079253614639e-05,Stipend,0
POA,0.0002524608,0.00020654679617333478,Poa Network,1
PUSHI,2.4999999999999998e-05,2.1897068832293194e-06,Pushi,0
ELP,6e-05,4.2347288850128173e-07,Ellerium,0
VLX,0.000124,2.582854813272772e-05,Velox,0
ONT,0.001,0.0006574303062166524,Ontology,0
CLO,0.0065,0.0002501163979438093,Callisto Network,3
TUBE,0.001,8.08585389130738e-05,BitTube,3
PSD,2.1e-05,4.1113298508009395e-06,Poseidon,3
ADK,2.4999999999999998e-05,2.525277072528041e-05,Aidos Kuneen,3
BSX,4.9999999999999996e-05,1.3927242241484136e-05,Bitspace,0
BRIA,3e-06,8.5414692316889e-07,Briacoin,0
IC,4.9999999999999996e-06,1.1940656333233882e-06,Ignition,0
BTL,7e-05,7.207701869161089e-05,Bitrolium,3
MEDIC,0.0005,0.00027000068858884117,MedicCoin,0
ALPS,0.0003,2.761694076055857e-05,Alpenschillling,3
BITG,2.1e-05,9.902789020916682e-06,Bitcoin Green,0
DEV,8.8e-05,2.2097771981660372e-05,Deviant Coin,0
ABJ,3e-05,9.9803767842214e-06,Abjcoin,0
SEM,9.999999999999999e-05,1.2435545813658904e-06,Semux,0
FTO,9.999999999999999e-05,3.2123011865143136e-05,FuturoCoin,3
CARE,0.00019999999999999998,0.00014115267438470172,Carebit,0
NZL,7.999999999999999e-05,1.1187210463274429e-05,Zealium,0
XMC,1.84e-05,1.6178792528933295e-05,Monero Classic,3
PROTON,4.4999999999999996e-05,4.448291117312275e-06,Proton,0
DEAL,0.00512195122,0.0014183570665580888,iDealCash,0
JUMP,2.1e-05,2.12823681393255e-05,Jumpcoin,3
INFX,2.628e-05,5.149197805826263e-06,Infinex,3
XBI,2.1e-05,1.1015197390448922e-05,Bitcoin Incognito,0
KEC,1.8e-05,8.0344855378839e-07,KEYCO,3
HWC,2.6e-05,3.909819065890078e-05,HollyWoodCoin,0
GIN,1.05e-05,7.05700742826996e-06,GINcoin,3
PLTC,0.0006000005179999999,8.511006126220963e-08,PlatinCoin,3
LOKI,0.00015,1.934728117688423e-05,Loki,3
NCP,0.184,0.04171211188183845,Newton Coin,3
SIC,0.010199999999999999,0.010303147722758945,Swisscoin,0
XT3,4.4e-05,7.707116164244029e-06,Xt3ch,0
MGD,0.000168,0.0001372362858296267,MassGrid,3
VIG,9.999999999999999e-05,3.357426329493798e-05,TheVig,0
PLURA,0.001,0.000565749793734985,PluraCoin,3
EMAR,8.4e-05,2.181772113210989e-05,EmaratCoin,0
DKD,8.999999999999999e-05,3.059040366757284e-05,Dekado,0
LYNX,0.092,0.0786595429746288,Lynx,0
POSQ,0.00065,2.743690828304882e-06,Poseidon Quark,0
BWS,0.000100262205,5.8395573826824245e-05,BitcoinWSpectrum,0
MUSE,1.8081806e-05,1.837889033865967e-05,Muse,0
XMN,2.20757e-05,8.207995617581074e-06,Motion,3
PLUS1,2.1e-05,8.732790637721589e-06,PlusOneCoin,3
AXE,2.1e-05,5.043480425424593e-06,Axe,3
TRVC,8.2546564e-05,3.729646421313155e-05,Trivechain,0
DTEM,2.1e-05,7.1539706984986e-06,Dystem,0
GIC,5.151e-06,5.979308337633273e-06,Giant,0
PNY,0.01688,1.0525074056122004e-06,Peony Coin,0
ABS,5.25e-05,1.346740196225012e-05,Absolute Coin,0
VITAE,9.999999999999999e-05,6.67218067557149e-05,Vitae,0
HEX,2.2105263e-05,1.4309466834066776e-06,HexCoin,3
TPC,0.001,5.458406164457927e-06,TPCash,0
WEBC,0.00175,1.5737712054640045e-05,Webchain,3
RYO,8.818888799999999e-05,4.940313898388515e-06,Ryo,3
URALS,0.00021,1.4895231528171468e-05,Urals Coin,3
QWC,0.18447,0.10055984390482109,Qwertycoin,3
ARE,5.5e-05,1.946433093556512e-05,ARENON,0
