Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.1582830773767832,-1.0824547687335409,0.005971905067015816,3,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.22784963195796581,-0.9521757112567696,0.051299505745209834,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.39386133316545285,1.223404742334084,-0.47865705191086105,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.3064914607030495,0.8488372474992611,-0.4446249286705451,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3041628975455198,0.8486883377015085,-0.44464718303134654,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.356583095320332,1.5084841390321517,-0.5647649569351876,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3947531372192401,1.22333175173633,-0.47862245855071883,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.15849297681538552,-1.082447033572302,0.005975051542948771,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.3675870384739623,1.4049391942761273,-0.12337118290034951,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.3022630646526619,1.0923894028812393,-0.524330080230214,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.32597730322217217,1.093093873412923,-0.5239406200800737,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.32441776999641114,1.0931003041899907,-0.5239768110625,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.24105684015716597,1.5618939201486235,-0.3023479780207036,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22799949123066046,-0.9521801981072593,0.0513037591711619,3,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.35173548382958486,0.9361521274449096,-0.1617588645907736,0,Lutetium Coin
